,Date,Open,High,Low,Close,Adj Close,Volume,Ticker
0,2021-12-27,75.115196,75.142998,74.9086,75.315002,75.315002,0,INR=X
1,2021-12-28,74.980301,75.2248,74.579498,74.980301,74.980301,0,INR=X
2,2021-12-29,74.738602,74.836403,74.502998,74.745003,74.745003,0,INR=X
3,2021-12-30,74.570297,74.646202,74.293999,74.570297,74.570297,0,INR=X
4,2021-12-31,74.432297,74.642502,74.089996,74.431198,74.431198,0,INR=X
5,2022-01-03,74.5159,74.520302,74.152,74.513802,74.513802,0,INR=X
6,2022-01-04,74.403297,74.770302,74.403297,74.403297,74.403297,0,INR=X
7,2022-01-05,74.535004,74.614998,74.205399,74.534897,74.534897,0,INR=X
8,2022-01-06,74.430298,74.703499,74.32,74.430099,74.430099,0,INR=X
9,2022-01-07,74.418198,74.637299,74.223503,74.419296,74.419296,0,INR=X
10,2022-01-10,74.230598,74.464798,73.989998,74.269997,74.269997,0,INR=X
11,2022-01-11,74.056999,74.267303,73.744797,74.056999,74.056999,0,INR=X
12,2022-01-12,73.815399,74.034302,73.697502,73.8153,73.8153,0,INR=X
13,2022-01-13,73.782799,74.063797,73.782799,73.799103,73.799103,0,INR=X
14,2022-01-14,73.972099,74.203201,73.875504,73.972298,73.972298,0,INR=X
15,2022-01-17,74.156097,74.360001,74.124702,74.378998,74.378998,0,INR=X
16,2022-01-18,74.255402,74.614098,74.1455,74.255096,74.255096,0,INR=X
17,2022-01-19,74.619499,74.834801,74.348999,74.619698,74.619698,0,INR=X
18,2022-01-20,74.449303,74.652496,74.296501,74.449203,74.449203,0,INR=X
19,2022-01-21,74.438499,74.629997,74.294403,74.452202,74.452202,0,INR=X
20,2022-01-24,74.388,74.400002,74.280998,74.400002,74.400002,0,INR=X
